timestamp,elapsed_seconds,dominant_emotion,confidence,all_emotions,face_box
2025-09-03T18:05:57.107413,4.73,sad,0.39,"{'angry': 0.15, 'disgust': 0.0, 'fear': 0.07, 'happy': 0.02, 'sad': 0.39, 'surprise': 0.04, 'neutral': 0.33}","[324, 234, 105, 133]"
2025-09-03T18:05:57.278261,4.9,sad,0.66,"{'angry': 0.04, 'disgust': 0.0, 'fear': 0.02, 'happy': 0.01, 'sad': 0.27, 'surprise': 0.01, 'neutral': 0.66}","[338, 254, 91, 121]"
2025-09-03T18:05:57.434439,5.05,sad,0.47,"{'angry': 0.14, 'disgust': 0.01, 'fear': 0.1, 'happy': 0.01, 'sad': 0.26, 'surprise': 0.01, 'neutral': 0.47}","[335, 256, 94, 123]"
2025-09-03T18:05:57.590028,5.21,sad,0.48,"{'angry': 0.14, 'disgust': 0.0, 'fear': 0.06, 'happy': 0.16, 'sad': 0.12, 'surprise': 0.03, 'neutral': 0.48}","[323, 247, 101, 132]"
2025-09-03T18:05:57.745028,5.36,sad,0.4,"{'angry': 0.13, 'disgust': 0.0, 'fear': 0.06, 'happy': 0.02, 'sad': 0.35, 'surprise': 0.03, 'neutral': 0.4}","[309, 241, 97, 130]"
2025-09-03T18:05:57.899333,5.52,sad,0.29,"{'angry': 0.24, 'disgust': 0.0, 'fear': 0.1, 'happy': 0.05, 'sad': 0.29, 'surprise': 0.06, 'neutral': 0.26}","[304, 237, 103, 136]"
2025-09-03T18:05:58.086883,5.71,sad,0.35,"{'angry': 0.35, 'disgust': 0.01, 'fear': 0.07, 'happy': 0.01, 'sad': 0.16, 'surprise': 0.11, 'neutral': 0.28}","[293, 232, 110, 143]"
2025-09-03T18:05:58.246964,5.87,sad,0.31,"{'angry': 0.24, 'disgust': 0.01, 'fear': 0.11, 'happy': 0.01, 'sad': 0.31, 'surprise': 0.02, 'neutral': 0.3}","[283, 230, 109, 144]"
2025-09-03T18:05:58.407775,6.03,neutral,0.35,"{'angry': 0.16, 'disgust': 0.0, 'fear': 0.1, 'happy': 0.01, 'sad': 0.33, 'surprise': 0.04, 'neutral': 0.35}","[280, 233, 110, 140]"
2025-09-03T18:05:58.562551,6.18,neutral,0.27,"{'angry': 0.27, 'disgust': 0.0, 'fear': 0.11, 'happy': 0.05, 'sad': 0.27, 'surprise': 0.17, 'neutral': 0.12}","[280, 230, 110, 136]"
2025-09-03T18:05:58.716192,6.33,neutral,0.41,"{'angry': 0.41, 'disgust': 0.0, 'fear': 0.04, 'happy': 0.1, 'sad': 0.34, 'surprise': 0.03, 'neutral': 0.07}","[282, 216, 112, 144]"
2025-09-03T18:05:58.856412,6.47,neutral,0.4,"{'angry': 0.4, 'disgust': 0.01, 'fear': 0.08, 'happy': 0.1, 'sad': 0.22, 'surprise': 0.08, 'neutral': 0.11}","[301, 200, 106, 133]"
2025-09-03T18:05:58.997684,6.62,angry,0.34,"{'angry': 0.3, 'disgust': 0.0, 'fear': 0.09, 'happy': 0.16, 'sad': 0.34, 'surprise': 0.05, 'neutral': 0.06}","[304, 164, 108, 142]"
2025-09-03T18:05:59.137773,6.76,angry,0.33,"{'angry': 0.21, 'disgust': 0.0, 'fear': 0.07, 'happy': 0.33, 'sad': 0.26, 'surprise': 0.05, 'neutral': 0.08}","[311, 139, 110, 149]"
2025-09-03T18:05:59.308179,6.93,sad,0.34,"{'angry': 0.32, 'disgust': 0.01, 'fear': 0.07, 'happy': 0.12, 'sad': 0.34, 'surprise': 0.08, 'neutral': 0.06}","[312, 106, 119, 157]"
2025-09-03T18:05:59.452957,7.07,angry,0.38,"{'angry': 0.27, 'disgust': 0.01, 'fear': 0.09, 'happy': 0.13, 'sad': 0.38, 'surprise': 0.05, 'neutral': 0.07}","[317, 73, 119, 158]"
2025-09-03T18:05:59.601876,7.22,sad,0.37,"{'angry': 0.37, 'disgust': 0.0, 'fear': 0.05, 'happy': 0.09, 'sad': 0.28, 'surprise': 0.06, 'neutral': 0.15}","[326, 7, 123, 164]"
2025-09-03T18:05:59.787595,7.41,angry,0.51,"{'angry': 0.16, 'disgust': 0.01, 'fear': 0.15, 'happy': 0.05, 'sad': 0.51, 'surprise': 0.06, 'neutral': 0.07}","[309, 28, 132, 166]"
2025-09-03T18:05:59.955721,7.57,sad,0.53,"{'angry': 0.19, 'disgust': 0.02, 'fear': 0.11, 'happy': 0.04, 'sad': 0.53, 'surprise': 0.07, 'neutral': 0.05}","[306, 60, 125, 163]"
2025-09-03T18:06:00.141461,7.76,sad,0.44,"{'angry': 0.44, 'disgust': 0.01, 'fear': 0.13, 'happy': 0.02, 'sad': 0.31, 'surprise': 0.03, 'neutral': 0.06}","[304, 85, 122, 168]"
2025-09-03T18:06:00.344221,7.96,sad,0.43,"{'angry': 0.13, 'disgust': 0.01, 'fear': 0.11, 'happy': 0.02, 'sad': 0.43, 'surprise': 0.07, 'neutral': 0.23}","[303, 100, 120, 159]"
2025-09-03T18:06:00.530143,8.15,sad,0.29,"{'angry': 0.28, 'disgust': 0.01, 'fear': 0.08, 'happy': 0.03, 'sad': 0.26, 'surprise': 0.05, 'neutral': 0.29}","[296, 110, 121, 156]"
2025-09-03T18:06:00.701468,8.32,sad,0.4,"{'angry': 0.2, 'disgust': 0.0, 'fear': 0.08, 'happy': 0.14, 'sad': 0.14, 'surprise': 0.03, 'neutral': 0.4}","[293, 111, 123, 166]"
2025-09-03T18:06:00.873136,8.49,sad,0.56,"{'angry': 0.07, 'disgust': 0.0, 'fear': 0.05, 'happy': 0.03, 'sad': 0.56, 'surprise': 0.06, 'neutral': 0.23}","[290, 124, 112, 141]"
2025-09-03T18:06:01.056978,8.68,sad,0.53,"{'angry': 0.09, 'disgust': 0.0, 'fear': 0.04, 'happy': 0.02, 'sad': 0.3, 'surprise': 0.03, 'neutral': 0.53}","[290, 125, 117, 148]"
2025-09-03T18:06:01.240203,8.86,sad,0.63,"{'angry': 0.07, 'disgust': 0.0, 'fear': 0.03, 'happy': 0.01, 'sad': 0.24, 'surprise': 0.02, 'neutral': 0.63}","[293, 129, 113, 147]"
2025-09-03T18:06:01.411548,9.03,neutral,0.45,"{'angry': 0.16, 'disgust': 0.0, 'fear': 0.09, 'happy': 0.01, 'sad': 0.23, 'surprise': 0.06, 'neutral': 0.45}","[298, 123, 114, 149]"
2025-09-03T18:06:01.579054,9.2,neutral,0.38,"{'angry': 0.14, 'disgust': 0.0, 'fear': 0.05, 'happy': 0.05, 'sad': 0.38, 'surprise': 0.02, 'neutral': 0.36}","[304, 126, 114, 143]"
2025-09-03T18:06:01.748856,9.37,neutral,0.61,"{'angry': 0.07, 'disgust': 0.0, 'fear': 0.04, 'happy': 0.04, 'sad': 0.18, 'surprise': 0.07, 'neutral': 0.61}","[300, 122, 119, 151]"
2025-09-03T18:06:01.918633,9.54,neutral,0.54,"{'angry': 0.13, 'disgust': 0.0, 'fear': 0.07, 'happy': 0.04, 'sad': 0.19, 'surprise': 0.03, 'neutral': 0.54}","[304, 125, 117, 149]"
